txn_id,src,dest,edge_type,amount,currency,is_fraudulent,time_since_previous_transaction,timestamp,transaction_type,name,mobile_number,pincode,narration,transaction_hour,is_weekend,is_odd_hour,tx_count_last_1hr,is_fast_transaction,city,is_high_risk_city,account_type,account_number,avg_amount_per_user,amount_deviation,dest_count_ratio,tx_count_per_user,is_just_below_threshold,structuring_count,is_structuring,unique_dest_count,is_mule_node,unique_tx_types,is_cross_channel,dest_is_routing_node,routing_depth,fraud_category,src_account_category,src_age_group,src_business_category,src_creation_date,src_gender,src_incorporation_year,src_institution_id,src_is_fraudulent,src_is_high_risk_category,src_name,src_node_type,src_number_of_employees,src_occupation,src_risk_score,dest_account_category,dest_age_group,dest_business_category,dest_creation_date,dest_gender,dest_incorporation_year,dest_institution_id,dest_is_fraudulent,dest_is_high_risk_category,dest_name,dest_node_type,dest_number_of_employees,dest_occupation,dest_risk_score
11,account_2979,account_1309,transaction,2809.61,INR,False,3355.231495496861,2025-11-05 10:37:00,TransactionType.PAYMENT,Finn Kashyap,9737987560,341502,"NEFT transfer - Vohra, Bera and Gera",22,0,1,3355.231495496861,0,Nawa,0,Current,INCUR-2186-38529691,71792.086,0.03913482699434316,0.2587114260384135,120,0,1,0,1,0,1,0,0,1,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_7,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_7,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
12,account_3806,account_1245,transaction,932.72,INR,False,1264.1947195634443,2025-11-16 22:34:00,TransactionType.PAYMENT,Hemal Gulati,9744446231,456335,"Online purchase at Chand, Chandra and N",13,0,0,1264.1947195634443,0,Nagda,0,Salary,INSAL-9627-25700853,52488.15934579439,0.01776976449280346,0.2090701372143441,107,0,1,0,2,0,1,0,0,2,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_1,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_16,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
13,account_3236,account_4040,transaction,864.22,INR,False,3551.5286068903497,2025-10-04 15:19:00,TransactionType.PAYMENT,Jagvi Raj,9189335492,244221,Bill payment - Sami Ltd,23,0,1,3551.5286068903497,0,Amroha,0,Salary,INSAL-6152-13769339,38851.727890625,0.022243483197187105,0.23934589651486515,128,0,1,0,2,0,1,0,0,2,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_0,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
14,account_3035,account_1189,transaction,5036.69,INR,False,2310.7723860521364,2025-04-24 00:10:00,TransactionType.PAYMENT,Mitesh Natt,9584080564,456010,Online purchase at Sanghvi Group,20,1,0,2310.7723860521364,0,Ujjain,0,Salary,INSAL-4792-20223277,127959.89097345133,0.039361167007230254,0.16895385399052762,113,0,0,0,3,0,1,0,0,2,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_3,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
15,account_2491,account_4053,transaction,295502.88,INR,True,26.94448722204714,2025-12-17 07:41:00,TransactionType.TRANSFER,Ikshita Loke,9637617989,411010,"IMPS txn ref Shah, Grewal and Sur",22,0,1,26.94448722204714,1,Pune,1,Savings,INSAV-9237-85851734,17647.69446969697,72.52649539416355,1.3417460715344514,132,0,8,1,6,1,2,1,0,4,mule_network,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_23,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
16,account_3311,account_1932,transaction,1321.4,INR,False,1128.279290343122,2025-07-21 14:22:00,TransactionType.PAYMENT,Fiyaz Ramakrishnan,9422477143,456550,NEFT transfer - Dhar and Sons,10,1,0,1128.279290343122,0,Shajapur,0,Fixed Deposit,INFD0-4968-47207718,10420.115806451611,0.12680024140811622,0.2500577980720503,124,0,1,0,1,0,1,0,0,1,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
17,account_2436,account_1305,transaction,3669.28,INR,False,1383.1750164131126,2025-11-05 21:55:00,TransactionType.PAYMENT,Theodore Sarma,9347997807,244410,UPI payment to Bassi Ltd,15,0,0,1383.1750164131126,0,Hasanpur,0,Salary,INSAL-7142-44887724,21375.735689655172,0.17164828406311222,0.21531925100288352,116,0,0,0,2,0,1,0,0,1,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_11,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
18,account_3343,account_4318,transaction,3239900.0,INR,False,1167.0462561243662,2025-11-20 09:14:05,TransactionType.PAYMENT,Aradhana Comar,9870037287,841226,"EMI deduction - Srivastava, Ravi and",22,0,1,1167.0462561243662,0,Siwan,0,Wallet,INWLT-3715-85192726,24860.572643171807,130.31758072994765,0.8347762967342045,454,0,0,0,1,0,1,0,0,1,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_14,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2017-04-22 20:02:43,unknown,,institution_2,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
19,account_4173,account_1300,transaction,35672.02,INR,False,2413.3241570816126,2025-06-11 14:26:00,TransactionType.PAYMENT,Qadim De,9429888116,456001,"EMI deduction - Lad, Munshi and Luth",23,1,1,2413.3241570816126,0,Ujjain,0,Savings,INSAV-8837-87066526,20557.545725806453,1.7351431602101168,1.0659331630444475,496,0,1,0,3,0,1,0,0,1,normal,Savings,unknown,unknown,2024-10-28 07:49:11,unknown,,institution_13,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_10,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
20,account_3026,account_1296,transaction,826.0,INR,False,1024.2172254721427,2025-08-25 11:45:00,TransactionType.DEPOSIT,Daksh Walla,9446368915,751010,UPI payment to Ramaswamy-Sama,15,1,0,1024.2172254721427,0,Bhubaneswar,0,Salary,INSAL-6087-21011417,19938.658660714285,0.04142498194452095,0.2826979348380399,112,0,0,0,2,0,1,0,0,2,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
21,account_2272,account_2672,transaction,50.93,INR,False,1936.257777749065,2025-01-04 14:55:00,TransactionType.PAYMENT,Lajita Raghavan,9523855245,751001,"EMI deduction - Jhaveri, Samra and R",23,0,1,1936.257777749065,0,Bhubaneswar,0,Current,INCUR-8578-86352163,2162.6177729257643,0.023539277887854294,1.2109747474827506,458,0,0,0,1,0,1,0,0,2,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_19,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_1,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
22,account_2649,account_1199,transaction,2870125.38,INR,False,3380.8423489282713,2025-04-01 14:51:00,TransactionType.TRANSFER,Oeshi Edwin,9606673194,841301,Bill payment - Dhawan LLC,23,0,1,3380.8423489282713,0,Siwan,0,Current,INCUR-2076-81467883,54938.170461538466,52.24187689563501,0.27008872639746545,130,0,1,0,2,1,1,0,0,1,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_13,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_18,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
23,account_1168,account_1306,transaction,13679.78,INR,False,865.2026356252718,2025-12-20 02:00:00,TransactionType.PAYMENT,Theodore Ganesan,9963406382,841001,UPI payment to Rout-Ahuja,9,1,0,865.2026356252718,0,Chhapra,0,Current,INCUR-9028-15155158,67957.56989795918,0.20129587807013002,0.21048817713811332,98,0,1,0,3,0,1,0,0,2,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_18,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
24,account_3664,account_2586,transaction,3858.27,INR,False,2038.5874124527581,2025-07-06 12:43:00,TransactionType.PAYMENT,Yahvi Patel,9575712156,841101,"UPI payment to Ahuja, Sarkar and Ah",22,0,1,2038.5874124527581,0,Chhapra,0,Wallet,INWLT-9201-96980700,8431.725179282868,0.4575353658481389,2.95615429066057,1255,0,0,0,1,0,1,0,0,2,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_20,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
25,account_1396,account_1218,transaction,352.8,INR,False,2697.750221137206,2025-12-15 13:10:00,TransactionType.DEPOSIT,Matthew Ahuja,9139190967,841301,"Salary credit from Gopal, Choudhury and",20,1,0,2697.750221137206,0,Siwan,0,Salary,INSAL-1869-33181680,205.05386363636364,1.7121736703884796,0.30665867908124184,132,0,1,0,2,0,1,0,0,2,normal,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_2,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_5,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
26,account_1631,account_1935,transaction,485108.8,INR,True,18.680707891743268,2025-10-09 12:53:00,TransactionType.TRANSFER,Chakrika Lanka,9800803135,500072,Urgent transfer to Raju Inc,23,0,1,18.680707891743268,1,Hyderabad,1,Wallet,INWLT-9372-97929642,96518.79658119657,29.029391995280793,1.1946852952887894,117,0,14,1,20,1,2,1,1,3,cross_channel,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_14,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
27,account_2090,account_3301,transaction,116.66,INR,False,2646.479056113079,2025-12-06 02:52:00,TransactionType.PAYMENT,Qushi Vala,9717560118,456550,Salary credit from Chopra Group,15,0,0,2646.479056113079,0,Shajapur,0,Current,INCUR-1602-35610393,230.54738095238096,0.5038277674321515,0.20436095459538664,126,0,0,0,2,0,1,0,1,1,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_22,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_7,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
28,account_4061,account_4421,transaction,361275.7,INR,True,7.743977841581155,2025-09-28 23:07:00,TransactionType.TRANSFER,Warinder Golla,9461841403,411010,Cash withdrawal at ATM Tiwari-Bhatt,2,1,1,7.743977841581155,1,Pune,1,Current,INCUR-8731-90235853,118087.60025641027,12.04019100100169,1.4753421959217372,117,0,14,1,14,1,2,1,1,8,cross_channel,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2024-01-13 09:32:58,unknown,,institution_1,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
29,account_2008,account_1319,transaction,2575.98,INR,False,1999.6130576351977,2025-11-18 04:15:00,TransactionType.PAYMENT,Zaitra Sagar,9658847032,751030,NEFT transfer - Gupta Inc,23,0,1,1999.6130576351977,0,Bhubaneswar,0,Salary,INSAL-4165-14688665,27622.36358974359,0.09325366882389544,0.2159360965822646,117,0,0,0,1,0,1,0,0,1,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
30,account_2930,account_1306,transaction,4630015.79,INR,False,2942.633384648696,2025-07-05 19:00:00,TransactionType.TRANSFER,Lakshmi Nanda,9302204920,841101,"Bill payment - Sama, Ramesh and Lal",16,0,0,2942.633384648696,0,Chhapra,0,Savings,INSAV-9156-87758681,192059.97870689654,24.10700924869204,0.18909070317847704,116,0,0,0,3,0,1,0,0,1,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_13,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_18,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
31,account_4400,account_4418,transaction,3633700.0,INR,False,1735.2017554503036,2025-11-08 12:22:21,TransactionType.PAYMENT,Lajita Guha,9139901071,244410,"NEFT transfer - Varghese, Devan and ",22,0,1,1735.2017554503036,0,Hasanpur,0,Current,INCUR-2684-44498474,87969.29226027397,41.30598985904385,0.3901730622856325,146,0,0,0,1,0,1,0,1,2,normal,Loan,unknown,unknown,2020-03-21 12:06:32,unknown,,institution_13,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2019-02-19 09:01:47,unknown,,institution_5,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
32,account_2006,account_3486,transaction,5942.7,INR,False,1728.888905474812,2025-09-01 15:31:00,TransactionType.PAYMENT,Harita Narula,9570861818,456001,"Bill payment - Sem, Majumdar and Sa",22,1,1,1728.888905474812,0,Ujjain,0,Salary,INSAL-2668-42916772,62534.46282442748,0.09502927989330678,0.29196581850729203,131,0,0,0,1,0,1,0,1,2,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_18,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_8,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
33,account_3651,account_1313,transaction,2215.84,INR,False,2306.51093150626,2025-12-19 11:06:00,TransactionType.PAYMENT,Chasmum Muni,9262092665,456550,Bill payment - Korpal-Ramakrishnan,22,0,1,2306.51093150626,0,Shajapur,0,Fixed Deposit,INFD0-4014-43274327,8062.402407407407,0.27480211057858517,0.2145742957552634,108,0,0,0,1,0,1,0,1,1,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_2,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
34,account_3549,account_1168,transaction,636457.04,INR,False,2008.5341397066907,2025-03-06 06:21:00,TransactionType.PAYMENT,Oviya Iyengar,9122904223,244410,"UPI payment to Dhawan, Karan and Ha",15,0,0,2008.5341397066907,0,Hasanpur,0,Current,INCUR-6329-46680347,29884.30232,21.296657239236524,0.33905104478666287,125,0,1,0,3,0,1,0,0,2,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
35,account_3818,account_3706,transaction,15030.0,INR,False,1502.0310672415458,2025-05-24 09:42:00,TransactionType.DEPOSIT,Kiaan Contractor,9856711220,456010,EMI deduction - Sinha-Kari,13,1,0,1502.0310672415458,0,Ujjain,0,Fixed Deposit,INFD0-5188-48218047,33989.62285714286,0.442180776244339,0.30615221179547214,140,0,1,0,1,0,1,0,0,1,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_3,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
36,account_2897,account_1165,transaction,25844.0,INR,False,2378.8231086657725,2025-12-04 08:01:00,TransactionType.DEPOSIT,Hemal Doctor,9473113262,751024,NEFT transfer - Ramanathan-Morar,22,0,1,2378.8231086657725,0,Bhubaneswar,0,Fixed Deposit,INFD0-3696-32879378,124238.89213675214,0.2080169223871608,0.33443723624231747,117,0,1,0,1,0,1,0,0,2,normal,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_7,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
37,account_2179,account_2729,transaction,6073.16,INR,False,3149.0021272621443,2025-02-07 13:35:00,TransactionType.PAYMENT,Azaan Pandey,9514160685,341502,EMI deduction - Sunder Ltd,22,0,1,3149.0021272621443,0,Nawa,0,Salary,INSAL-2124-37950626,22640.59685300207,0.2682301976945038,1.137425168491033,483,0,1,0,2,0,1,0,0,1,normal,Current,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_1,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
38,account_2067,account_1258,transaction,4228804.3,INR,False,3139.500409767952,2025-03-05 01:29:00,TransactionType.TRANSFER,Charita Pall,9667114480,751030,Salary credit from Bhardwaj-Gara,23,0,1,3139.500409767952,0,Bhubaneswar,0,Current,INCUR-7021-46871286,65991.94585585585,64.07964131858434,0.13777890861570158,111,0,0,0,1,0,1,0,0,1,normal,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_4,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_16,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
39,account_1403,account_3866,transaction,222.45,INR,False,2861.630952909431,2025-01-09 12:23:00,TransactionType.PAYMENT,Yug Babu,9731358204,341022,Bill payment - Korpal-Thaker,18,1,0,2861.630952909431,0,Nagaur,0,Fixed Deposit,INFD0-4486-23729800,45805.56302521008,0.004856291005233737,0.327896025254709,119,0,1,0,1,0,1,0,0,2,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_8,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
40,account_1991,account_1231,transaction,1057.94,INR,False,3236.7084095050946,2025-01-15 03:56:00,TransactionType.PAYMENT,Lopa Kumer,9984856407,244221,"EMI deduction - Ganguly, Sani and Ma",22,1,1,3236.7084095050946,0,Amroha,0,Fixed Deposit,INFD0-9270-46838604,41138.463548387095,0.025715940577486635,0.15343758169742794,124,0,0,0,2,0,1,0,0,1,normal,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Savings,unknown,unknown,2025-01-01 00:00:00,unknown,,institution_6,False,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
41,account_4042,account_4470,transaction,263299.59,INR,True,37.4002715376222,2025-12-29 02:01:00,TransactionType.TRANSFER,Darsh Saini,9384930239,600010,"Cash withdrawal at ATM Yohannan, Viswanatha",23,1,1,37.4002715376222,1,Chennai,1,Savings,INSAV-5238-98037978,23377.211557017545,36.54445020781534,4.659008792959523,456,0,9,1,8,0,2,1,0,4,spray_attack,AccountCategory.CASH,unknown,unknown,unknown,unknown,,unknown,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25,Loan,unknown,unknown,2014-03-21 17:10:25,unknown,,institution_22,True,unknown,unknown,NodeType.ACCOUNT,,unknown,0.25
